moo,,БУМАГА НА 01/06/2026,,,,,,,,,,,,,,,
,,,,,,,,,,,,ФАКТУРА,НАТУРАЛ,МЕТАЛЛ,СОФТ,СПИСАТЬ,КОНВЕРТ
ДИЗАЙНЕРСКАЯ БУМАГА,,,,,,,,,,,"остаток, лист",,,,,,
ПОСТАВЩИК,ПРИХОД,НАИМЕНОВАНИЕ,ФОРМАТ,КОЛ-ВО,,,,ЦЕНА с ндс,"ЦВЕТ, ФАКТУРА",ПЛОТНОСТЬ,01/06/26,,,,,,
Люмитекс,ТТН 2459430 от 16.12.24г.,"Бумага Majestic Pariour Pink, 290г/м2, Италия",лист SRA3,19,"1,73","1,74","3,00","3,60",ЛИЛОВЫЙ ПЕРЛПМУТР,290,?,,,,,,
АРтПапера,ТН2067769 от 22.03.24г.,"Бумага дизайнерская Galaxy Metallic, 300г/м2, 2S soft white/натуральный белый, Китай",лист SRA3,4,"1,75","1,72","3,00","3,60",НАТУРАЛЬНЫЙ ПЕРЛАМКТР,300,,,,,,,
АРтПапера,ТН2067769 от 22.03.24г.,"Бумага дизайнерская Galaxy Metallic, 300г/м2, 2S vanilla cream/кремовый, Россия",лист SRA3,4,"1,75","1,72","3,00","3,60",КРЕМОВЫЙ ПЕРЛАМУТР,300,,,,,,,
Буманая компания,ТТН 4049139 от 18.03.24г.,"Бумага Majestic Candelight Cream Волшебная свеча, 120г/м2, Италия",лист SRA3,68,"0,57","1,75","1,00","1,20",ВОЛШЕБНАЯ СВЕЧА,120,,,,,,,
Люмитекс,ТТН1784908от 08.09.25г.,"Бумага Majestic Candelight Cream, 290г/м2, Италия",лист SRA3,40,"1,60","1,88","3,00","3,60",ВОЛШЕБНАЯ СВЕЧА,290,,,,,,,
Люмитекс,ТТН1784908от 08.09.25г.,"Бумага Majestic Milk, 290г/м2, Италия",лист SRA3,29,"1,60","1,88","3,00","3,60",МОЛОЧНЫЙ ПЕРЛАМУТР,290,,,,,,,
Бумажная компания,ТТН1706574 от 03.06.25г.,"Бумага дизайнерская Сolor Crystal chameleon Розовый хамелеон, 250г/м2, Китай",лист SRA3,25,"0,87","2,30","2,00","2,40",РОЗОВЫЙ ХАМЕЛЕОН,250,,,,,,,
Люмитекс,ТТН1784908от 08.09.25г.,"Бумага Majestic Marble Wate, 290г/м2, Италия",лист SRA3,22,"1,69","1,78","3,00","3,60",БЕЛЫЙ ПЕРЛАМУТР,290,,,,,,,
Артпапера,ТН2137780 от 12.11.25г.,"Бумага дизайнерская Quill Ice White Белый 300г /м2 , Китай",лист SRA3,74,"1,25","2,40","3,00","3,60",БЕЛЫЙ ХАМЕЛЕОН,300,ЛЕБЯЖИЙ,,,,,,
Артпапера,ТТН2137866 от 19.11.25г.,"Бумага дизайнерская ColorFlow Blue Синий, 300г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",СИНИЙ ПЕРЛАМУТР,300,,,,,,,
Артпапера,ТТН2137866 от 19.11.25г.,"Бумага дизайнерская Metal paper black черный, 250г/м2, Китай",лист SRA3,20,"1,13","1,78","2,00","2,40",ЧЕРНЫЙ ПЕРЛАМУТР,250,,,,,,,
Артпапера,ТТН2137866 от 19.11.25г.,"Бумага дизайнерская ColorFlow Christmas green Рождественский зеленый, 258г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",ЗЕЛЕНЫЙ ПЕРЛАМУТР,300,,,,,,,
Артпапера,ТТН2137866 от 19.11.25г.,"Бумага дизайнерская ColorFlow Gold Золото, 300г/м2, Китай",лист SRA3,40,"1,38","2,18","3,00","3,60",ЗОЛОТОЙ МЕТАЛЛИК,300,,,,,,,
2026,,,,,,,,,,,,,,,,,
АртПапера,ТН1541203 от 13.01.26г.,"Бумага дизайнерская ColorFlow Petal Розовый лепесток, 300г/м2, Китай",лист SRA3,20,"1,38","2,18","3,00","3,60",РОЗОВЫЙ,300,,,,,,,
